timestamp,frequency_hz,vpp_ch1_V,vpp_ch2_V
2026-04-28 15:21:05,100.0,1.001,1.2
2026-04-28 15:21:05,1000.0,0.535,1.2
2026-04-28 15:21:05,10000.0,0.101,1.1
2026-04-28 15:21:05,100000.0,0.032,1.1
2026-04-28 15:25:07,100.0,1.018,1.03
2026-04-28 15:25:07,1000.0,0.543,0.998
2026-04-28 15:25:07,10000.0,0.0826,0.988
2026-04-28 15:25:07,100000.0,0.0149,0.995
2026-04-28 15:36:24,10.0,1.041,1.032
2026-04-28 15:36:24,50.0,1.035,1.032
2026-04-28 15:36:24,100.0,1.022,1.025
2026-04-28 15:36:24,500.0,0.809,1.005
2026-04-28 15:36:24,1000.0,0.551,0.995
2026-04-28 15:36:24,5000.0,0.153,0.988
2026-04-28 15:36:24,10000.0,0.093,0.988
2026-04-28 15:36:24,50000.0,0.04,0.988
2026-04-28 15:36:24,100000.0,0.033,0.988
2026-04-28 15:36:24,500000.0,0.027,0.995
2026-04-28 15:36:24,1000000.0,0.04,0.995
2026-04-28 15:36:24,5000000.0,0.02,1.002
2026-04-28 15:36:24,10000000.0,0.021,1.018
2026-04-28 15:36:24,20000000.0,0.021,1.09
2026-04-28 15:36:43,10.0,1.041,1.034
2026-04-28 15:36:43,50.0,1.022,1.032
2026-04-28 15:36:43,100.0,1.022,1.032
2026-04-28 15:36:43,500.0,0.796,1.011
2026-04-28 15:36:43,1000.0,0.544,1.002
2026-04-28 15:36:43,5000.0,0.153,0.988
2026-04-28 15:36:43,10000.0,0.093,0.988
2026-04-28 15:36:43,50000.0,0.046,0.988
2026-04-28 15:36:43,100000.0,0.04,0.988
2026-04-28 15:36:43,500000.0,0.027,0.995
2026-04-28 15:36:43,1000000.0,0.027,0.995
2026-04-28 15:36:43,5000000.0,0.02,0.995
2026-04-28 15:36:43,10000000.0,0.022,1.012
2026-04-28 15:36:43,20000000.0,0.028,1.09
2026-04-28 15:47:30,10.0,1.041,1.032
2026-04-28 15:47:30,50.0,1.028,1.025
2026-04-28 15:47:30,100.0,1.022,1.032
2026-04-28 15:47:30,500.0,0.796,1.005
2026-04-28 15:47:30,1000.0,0.537,0.991
2026-04-28 15:47:30,5000.0,0.159,0.995
2026-04-28 15:47:30,10000.0,0.093,0.988
2026-04-28 15:47:30,50000.0,0.04,0.988
2026-04-28 15:47:30,100000.0,0.04,0.988
2026-04-28 15:47:30,500000.0,0.027,1.002
2026-04-28 15:47:30,1000000.0,0.027,0.995
2026-04-28 15:47:30,5000000.0,0.02,0.995
2026-04-28 15:47:30,10000000.0,0.032,1.019
2026-04-28 15:47:30,20000000.0,0.035,1.08
2026-04-28 15:48:02,10.0,1.048,1.034
2026-04-28 15:48:02,50.0,1.035,1.032
2026-04-28 15:48:02,100.0,1.022,1.032
2026-04-28 15:48:02,500.0,0.796,1.011
2026-04-28 15:48:02,1000.0,0.544,1.002
2026-04-28 15:48:02,5000.0,0.153,0.988
2026-04-28 15:48:02,10000.0,0.093,0.988
2026-04-28 15:48:02,50000.0,0.04,0.988
2026-04-28 15:48:02,100000.0,0.04,0.988
2026-04-28 15:48:02,500000.0,0.027,0.995
2026-04-28 15:48:02,1000000.0,0.033,0.988
2026-04-28 15:48:02,5000000.0,0.027,1.002
